CHAIN,WEEK,DEX,UNIQUE_USERS,SWAP_VOLUME
Polygon,2022-03-21 00:00:00.000,hashflow,1206,47434853.65
Polygon,2022-03-21 00:00:00.000,quickswap,94860,227527745.75
Polygon,2022-03-21 00:00:00.000,balancer,32558,69717497.56
Polygon,2022-03-21 00:00:00.000,sushiswap,30822,63894403.53
Polygon,2022-03-21 00:00:00.000,kyberswap,43438,23277992.55
Polygon,2022-03-21 00:00:00.000,dodo,17470,57930664.42
Arbitrum,2022-03-28 00:00:00.000,dodo,107,123477.1
Arbitrum,2022-03-28 00:00:00.000,uniswap,6604,75040852.81
Arbitrum,2022-03-28 00:00:00.000,gmx,428,8556240.19
Arbitrum,2022-03-28 00:00:00.000,hashflow,226,"null"
Arbitrum,2022-03-28 00:00:00.000,balancer,1921,5243476.17
Arbitrum,2022-03-28 00:00:00.000,curve,525,4681485.42
Arbitrum,2022-03-28 00:00:00.000,sushiswap,10836,192610122.85
Avalanche,2022-03-28 00:00:00.000,kyberswap,2612,55118467.28
Avalanche,2022-03-28 00:00:00.000,curve,2291,110161235.52
Avalanche,2022-03-28 00:00:00.000,woofi,536,17710235.28
Avalanche,2022-03-28 00:00:00.000,pangolin,23370,156671304.31
Avalanche,2022-03-28 00:00:00.000,trader joe,107939,1116379529.22
Avalanche,2022-03-28 00:00:00.000,sushiswap,5988,3797619.14
Avalanche,2022-03-28 00:00:00.000,platypus,2820,361070582.81
Avalanche,2022-03-28 00:00:00.000,gmx,421,57832885.05
BSC,2022-03-28 00:00:00.000,woofi,1410,"null"
BSC,2022-03-28 00:00:00.000,kyberswap,1953,2926139.96
BSC,2022-03-28 00:00:00.000,sushiswap,5198,286004.65
BSC,2022-03-28 00:00:00.000,hashflow,2029,"null"
BSC,2022-03-28 00:00:00.000,dodo,9673,2475049.41
BSC,2022-03-28 00:00:00.000,pancakeswap,1306215,1812313769.23
BSC,2022-03-28 00:00:00.000,biswap,60860,479638442.27
Optimism,2022-03-28 00:00:00.000,uniswap,5678,22196647.44
Optimism,2022-03-28 00:00:00.000,curve,266,"null"
Optimism,2022-03-28 00:00:00.000,synthetix,568,352.98
Polygon,2022-03-28 00:00:00.000,balancer,40725,103941773.96
Polygon,2022-03-28 00:00:00.000,quickswap,106854,290481249.07
Polygon,2022-03-28 00:00:00.000,kyberswap,48591,30476346.87
Polygon,2022-03-28 00:00:00.000,hashflow,1421,2885058.37
Polygon,2022-03-28 00:00:00.000,dodo,20928,81893451.08
Polygon,2022-03-28 00:00:00.000,sushiswap,42866,127670998.81
Polygon,2022-03-28 00:00:00.000,curve,2910,15699435.29
